Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
sorter_base,"-4,4491E-06","0,016393","-0,00034347",0,0,0,"1,4064","0,015275","7,2819E-07","3,9377E-09","0,028186","2,2307E-05","0,016166",0,0,0,0,0,0,package://sorter_model/meshes/sorter_base.STL,1,1,1,1,0,0,0,0,0,0,package://sorter_model/meshes/sorter_base.STL,,Sorter_base-1,Система координат1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
sorter_left_motor,"-0,017903","0,089967","0,033084",0,0,0,"0,10528","0,00010048",0,"1,1007E-21","0,00010048",0,"2,4448E-05",0,0,0,0,0,0,package://sorter_model/meshes/sorter_left_motor.STL,"0,77647","0,75686","0,73725",1,0,0,0,0,0,0,package://sorter_model/meshes/sorter_left_motor.STL,,Sorter_link1-1,Origin_left_motor2base,,left_motor2base,fixed,"0,017907","-0,10636","-0,12257",0,0,0,sorter_base,0,0,0,,,,,,,,,,,,
sorter_left_wheel,"2,28194422055827E-05","-8,43042476106337E-11","-0,0209771225652136",0,0,0,"0,20866104388874","0,000128796186623865","-3,82072804596674E-14","1,59803616664974E-07","0,000128825118189506","2,61656146469745E-13","8,50807912485813E-05",0,0,0,0,0,0,package://sorter_model/meshes/sorter_left_wheel.STL,"0,776470588235294","0,756862745098039","0,737254901960784",1,0,0,0,0,0,0,package://sorter_model/meshes/sorter_left_wheel.STL,,Sorter_link2-1;Sorter_link3-1,Origin_left_wheel2motor,Axis_left_wheel2motor,left_wheel2motor,continuous,"-0,017907","0,089967",0,0,0,0,sorter_left_motor,0,0,1,,,,,,,,,,,,
sorter_left_cover,"0,00194719134720675","3,72458869477531E-06","-2,43336972178577E-06",0,0,0,"0,0431207702228541","9,37344452981364E-06","1,1387016505891E-21","-1,16543225805419E-19","4,74203410091467E-06","1,05879118406788E-21","4,74203410091467E-06",0,0,0,0,0,0,package://sorter_model/meshes/sorter_left_cover.STL,"0,776470588235294","0,756862745098039","0,737254901960784",1,0,0,0,0,0,0,package://sorter_model/meshes/sorter_left_cover.STL,,Sorter_link4-1,Origin_left_cover2wheel,Axis_left_cover2wheel,left_cover2wheel,fixed,0,0,"-0,059084","2,1495","1,5708",0,sorter_left_wheel,1,0,0,,,,,,,,,,,,
sorter_right_motor,"-0,017903","0,089967","0,033084",0,0,0,"0,10528","0,00010048","-8,5498E-33","1,7602E-18","0,00010048","-1,6512E-20","2,4448E-05",0,0,0,0,0,0,package://sorter_model/meshes/sorter_right_motor.STL,"0,77647","0,75686","0,73725",1,0,0,0,0,0,0,package://sorter_model/meshes/sorter_right_motor.STL,,Sorter_link1-2,Origin_right_motor2base,,right_motor2base,fixed,"0,034224","-0,1015","0,12326","3,1416",0,"-2,5629",sorter_base,0,0,0,,,,,,,,,,,,
sorter_right_wheel,"0,0209771237148482","1,21379501944324E-05","-6,83275468987138E-06",0,0,0,"0,208661050465938","8,50807941683954E-05","-1,37987193424568E-07","8,06038607492259E-08","0,000128803549177132","1,26011637989771E-08","0,000128817761634583",0,0,0,0,0,0,package://sorter_model/meshes/sorter_right_wheel.STL,"0,298039215686275","0,298039215686275","0,298039215686275",1,0,0,0,0,0,0,package://sorter_model/meshes/sorter_right_wheel.STL,,Sorter_link3-2;Sorter_link2-2,Origin_right_wheel2motor,Axis_right_wheel2motor,right_wheel2motor,continuous,"-0,017899","0,08997",0,"1,5708","1,5708",0,sorter_right_motor,1,0,0,,,,,,,,,,,,
sorter_right_cover,"0,00194719134720675","-3,72458868691007E-06","2,43336972243283E-06",0,0,0,"0,0431207702228541","9,37344452981363E-06","1,07180477810484E-19","4,5684162275568E-20","4,74203410091467E-06","-2,11758236813577E-22","4,74203410091467E-06",0,0,0,0,0,0,package://sorter_model/meshes/sorter_right_cover.STL,"0,776470588235294","0,756862745098039","0,737254901960784",1,0,0,0,0,0,0,package://sorter_model/meshes/sorter_right_cover.STL,,Sorter_link4-2,Origin_right_cover2wheel,Axis_right_cover2wheel,right_cover2wheel,fixed,"0,059084",0,0,0,0,0,sorter_right_wheel,1,0,0,,,,,,,,,,,,
sorter_front_caster_wheel,"-2,77555756156289E-17","-0,000343473027186362","-2,08166817117217E-17",0,0,0,"0,038170350741116","3,43533156670044E-06","-3,5837938229474E-28","3,73013477037517E-42","3,43533156670044E-06",0,"3,43533156670044E-06",0,0,0,0,0,0,package://sorter_model/meshes/sorter_front_caster_wheel.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://sorter_model/meshes/sorter_front_caster_wheel.STL,,Sorter_link9-2,Origin_front_caster_wheel2base,Axis_front_caster_wheel2base,front_caster_wheel2base,continuous,"0,13945","-0,035393",0,"-1,5708",0,0,sorter_base,0,1,0,,,,,,,,,,,,
sorter_back_caster_wheel,"6,50299088999495E-05","-8,00602511280557E-05","0,000327620493161342",0,0,0,"0,038170350741116","3,43533156670044E-06","4,10281583826302E-22","5,29395592033938E-23","3,43533156670044E-06","1,05879118406788E-22","3,43533156670044E-06",0,0,0,0,0,0,package://sorter_model/meshes/sorter_back_caster_wheel.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://sorter_model/meshes/sorter_back_caster_wheel.STL,,Sorter_link9-1,Origin_back_caster_wheel2base,Axis_back_caster_wheel2base,back_caster_wheel2base,continuous,"-0,13944","-0,035393",0,"-0,23967","-0,19048","-0,63358",sorter_base,"0,18933","-0,23309","0,95385",,,,,,,,,,,,
sorter_scoop,"0,078931","5,7457E-06","0,14697",0,0,0,"0,15664","0,0030098","3,2581E-09","-3,5132E-05","0,0015134","5,1452E-08","0,0016037",0,0,0,0,0,0,package://sorter_model/meshes/sorter_scoop.STL,1,1,1,1,0,0,0,0,0,0,package://sorter_model/meshes/sorter_scoop.STL,,Sorter_link11-1,Origin_scoop2base,Axis_scoop2base,scoop2base,revolute,0,"0,025607","0,13049","3,1416",0,"1,5708",sorter_base,0,1,0,0,0,0,"1,5708",,,,,,,,
sorter_bolts,"0,028317","-0,17738","0,089448",0,0,0,"0,015284","8,0348E-09","5,0084E-21","2,5533E-21","5,1585E-07","1,387E-21","5,1585E-07",0,0,0,0,0,0,package://sorter_model/meshes/sorter_bolts.STL,"0,77647","0,75686","0,73725",1,0,0,0,0,0,0,package://sorter_model/meshes/sorter_bolts.STL,,Sorter_link12-4;Sorter_link12-5;Sorter_link12-3;Sorter_link12-2;Sorter_link12-1;Sorter_link12-6,Origin_bolts2base,,bolts2base,fixed,"-0,15057","0,06929","-0,18691","-1,9639",0,"-1,5708",sorter_base,0,0,0,,,,,,,,,,,,
sorter_leds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://sorter_model/meshes/sorter_leds.STL,1,1,1,1,0,0,0,0,0,0,package://sorter_model/meshes/sorter_leds.STL,,Sorter_link13-3;Sorter_link13-2;Sorter_link13-1,Origin_leds2base,Axis_leds2base,leds2base,fixed,"0,13301","0,073607","-0,029657","-1,5708",0,"1,5708",sorter_base,1,0,0,,,,,,,,,,,,
